estacionID,fecha,nivel
CNDCA,2022-06-15T00:00:00,35.710
PLZCA,2022-06-15T00:00:00,1.940
SBNCL,2022-06-15T00:00:00,0.000
ARMCM,2022-06-15T00:00:00,0.000
CL2CM,2022-06-15T00:00:00,1.700
CL3CM,2022-06-15T00:00:00,1.100
CLLCM,2022-06-15T00:00:00,0.000
CMDCM,2022-06-15T00:00:00,0.000
DJLCM,2022-06-15T00:00:00,3.160
MADCM,2022-06-15T00:00:00,0.620
PN2CM,2022-06-15T00:00:00,1.490
PNTCM,2022-06-15T00:00:00,3.330
ACACP,2022-06-15T00:00:00,395.760
ANGCP,2022-06-15T00:00:00,518.050
BOQCP,2022-06-15T00:00:00,482.210
CACCP,2022-06-15T00:00:00,51.450
CASCP,2022-06-15T00:00:00,622.400
CHMCP,2022-06-15T00:00:00,564.120
DESCP,2022-06-15T00:00:00,25.200
ELNCP,2022-06-15T00:00:00,60.030
ESCCP,2022-06-15T00:00:00,86.200
GRICP,2022-06-15T00:00:00,189.040
HUECP,2022-06-15T00:00:00,21.980
HUICP,2022-06-15T00:00:00,20.960
JAPCP,2022-06-15T00:00:00,581.540
JSBCP,2022-06-15T00:00:00,607.340
LACCP,2022-06-15T00:00:00,139.150
LFLCP,2022-06-15T00:00:00,483.350
MALCP,2022-06-15T00:00:00,167.480
MAPCP,2022-06-15T00:00:00,57.200
PENCP,2022-06-15T00:00:00,85.550
REFCP,2022-06-15T00:00:00,589.900
REVCP,2022-06-15T00:00:00,538.160
SAACP,2022-06-15T00:00:00,2.540
SAYCP,2022-06-15T00:00:00,232.010
SCRCP,2022-06-15T00:00:00,2103.800
SDOCP,2022-06-15T00:00:00,459.560
SMICP,2022-06-15T00:00:00,539.760
SNACP,2022-06-15T00:00:00,232.720
TAMCP,2022-06-15T00:00:00,299.900
TPICP,2022-06-15T00:00:00,16.200
TUXCP,2022-06-15T00:00:00,494.280
YAMCP,2022-06-15T00:00:00,327.380
BTPCH,2022-06-15T00:00:00,0.690
CL2CH,2022-06-15T00:00:00,2.440
CNDCH,2022-06-15T00:00:00,1.250
GPCCH,2022-06-15T00:00:00,0.590
GRCCH,2022-06-15T00:00:00,2.090
IGNCH,2022-06-15T00:00:00,2.810
TCNCH,2022-06-15T00:00:00,1.860
URECH,2022-06-15T00:00:00,2.230
CB3CL,2022-06-15T00:00:00,0.000
CEADF,2022-06-15T00:00:00,0.300
AMLDR,2022-06-15T00:00:00,2.780
CFRDR,2022-06-15T00:00:00,2.870
LFLDR,2022-06-15T00:00:00,0.000
PALDR,2022-06-15T00:00:00,1.950
SACDR,2022-06-15T00:00:00,0.900
SRDDR,2022-06-15T00:00:00,0.670
TDRDR,2022-06-15T00:00:00,1.390
TMZDR,2022-06-15T00:00:00,2.380
ACSGJ,2022-06-15T00:00:00,0.000
AMCGJ,2022-06-15T00:00:00,0.600
ANSGJ,2022-06-15T00:00:00,0.080
BEGGJ,2022-06-15T00:00:00,0.430
BRAGJ,2022-06-15T00:00:00,2.420
CEYGJ,2022-06-15T00:00:00,0.100
CSTGJ,2022-06-15T00:00:00,0.000
CYUGJ,2022-06-15T00:00:00,0.000
ECBGJ,2022-06-15T00:00:00,0.020
ECHGJ,2022-06-15T00:00:00,0.000
ECLGJ,2022-06-15T00:00:00,0.340
IALGJ,2022-06-15T00:00:00,1825.780
JCRGJ,2022-06-15T00:00:00,1.020
LADGJ,2022-06-15T00:00:00,0.640
MRKGJ,2022-06-15T00:00:00,-0.390
PERGJ,2022-06-15T00:00:00,0.000
SLCGJ,2022-06-15T00:00:00,1.120
SLMGJ,2022-06-15T00:00:00,0.250
SLSGJ,2022-06-15T00:00:00,1887.190
SLVGJ,2022-06-15T00:00:00,2.000
ARSHD,2022-06-15T00:00:00,0.000
ATCHD,2022-06-15T00:00:00,0.460
CDCHD,2022-06-15T00:00:00,1.050
CDEHD,2022-06-15T00:00:00,0.380
CDFHD,2022-06-15T00:00:00,2.600
CENHD,2022-06-15T00:00:00,1.570
CPEHD,2022-06-15T00:00:00,0.000
CSTHD,2022-06-15T00:00:00,3.480
CTEHD,2022-06-15T00:00:00,0.500
ORZHD,2022-06-15T00:00:00,0.050
RESHD,2022-06-15T00:00:00,1.400
RTIHD,2022-06-15T00:00:00,0.680
RTTHD,2022-06-15T00:00:00,1.690
TLTHD,2022-06-15T00:00:00,0.600
AJJJL,2022-06-15T00:00:00,0.100
ATEJL,2022-06-15T00:00:00,0.380
ATQJL,2022-06-15T00:00:00,0.940
BCSJL,2022-06-15T00:00:00,0.000
BLNJL,2022-06-15T00:00:00,0.450
BOQJL,2022-06-15T00:00:00,0.580
CALJL,2022-06-15T00:00:00,0.210
CIHJL,2022-06-15T00:00:00,0.630
CORJL,2022-06-15T00:00:00,18.310
CULJL,2022-06-15T00:00:00,0.590
CUNJL,2022-06-15T00:00:00,0.360
CXTJL,2022-06-15T00:00:00,0.460
ELCJL,2022-06-15T00:00:00,0.210
LDBJL,2022-06-15T00:00:00,0.410
LDMJL,2022-06-15T00:00:00,66.400
LGLJL,2022-06-15T00:00:00,65.160
MALJL,2022-06-15T00:00:00,1521.470
RAMJL,2022-06-15T00:00:00,0.760
SCRJL,2022-06-15T00:00:00,1.170
SGRJL,2022-06-15T00:00:00,0.020
ZAPJL,2022-06-15T00:00:00,0.120
ZPTJL,2022-06-15T00:00:00,63.100
ZULJL,2022-06-15T00:00:00,3.690
ACLMX,2022-06-15T00:00:00,1.600
ARBMX,2022-06-15T00:00:00,0.380
ATOMX,2022-06-15T00:00:00,39.600
CALMX,2022-06-15T00:00:00,96.480
CHPMX,2022-06-15T00:00:00,0.470
CNPMX,2022-06-15T00:00:00,2347.980
ECDMX,2022-06-15T00:00:00,0.700
EMOMX,2022-06-15T00:00:00,1.420
GDLMX,2022-06-15T00:00:00,2295.680
GRDMX,2022-06-15T00:00:00,0.000
IXCMX,2022-06-15T00:00:00,97.120
K27MX,2022-06-15T00:00:00,3.950
MBLMX,2022-06-15T00:00:00,0.300
NTQMX,2022-06-15T00:00:00,1.630
OBSMX,2022-06-15T00:00:00,0.000
PMEMX,2022-06-15T00:00:00,0.380
PTCMX,2022-06-15T00:00:00,2567.690
RMCMX,2022-06-15T00:00:00,0.740
SB2MX,2022-06-15T00:00:00,46.040
SBBMX,2022-06-15T00:00:00,2561.000
SLAMX,2022-06-15T00:00:00,1.460
SLBMX,2022-06-15T00:00:00,23.560
SMCMX,2022-06-15T00:00:00,0.790
SMLMX,2022-06-15T00:00:00,26.600
TBRMX,2022-06-15T00:00:00,0.120
TESMX,2022-06-15T00:00:00,0.360
TJCMX,2022-06-15T00:00:00,81.470
TMCMX,2022-06-15T00:00:00,65.350
TTLMX,2022-06-15T00:00:00,1.100
TTQMX,2022-06-15T00:00:00,0.960
ADUMC,2022-06-15T00:00:00,1.380
BIBMC,2022-06-15T00:00:00,1525.840
CAMMC,2022-06-15T00:00:00,0.840
CHAMC,2022-06-15T00:00:00,1.180
CMNMC,2022-06-15T00:00:00,1.050
CORMC,2022-06-15T00:00:00,1569.820
EGIMC,2022-06-15T00:00:00,2.090
LPDMC,2022-06-15T00:00:00,3.700
LPNMC,2022-06-15T00:00:00,1.390
LPSMC,2022-06-15T00:00:00,1.100
LPZMC,2022-06-15T00:00:00,0.750
RCEMC,2022-06-15T00:00:00,0.340
SCRMC,2022-06-15T00:00:00,1527.770
TLAMC,2022-06-15T00:00:00,0.060
VJIMC,2022-06-15T00:00:00,1974.740
YURMC,2022-06-15T00:00:00,0.290
ALUMR,2022-06-15T00:00:00,9.320
AMCMR,2022-06-15T00:00:00,9.660
CRDMR,2022-06-15T00:00:00,0.000
CUAMR,2022-06-15T00:00:00,9.930
CXXMR,2022-06-15T00:00:00,0.720
ESTMR,2022-06-15T00:00:00,4.520
PERMR,2022-06-15T00:00:00,0.660
TEMMR,2022-06-15T00:00:00,1.840
TICMR,2022-06-15T00:00:00,0.040
XICMR,2022-06-15T00:00:00,1.900
YAHMR,2022-06-15T00:00:00,0.220
ZCTMR,2022-06-15T00:00:00,1.100
ACANR,2022-06-15T00:00:00,0.050
CAPNR,2022-06-15T00:00:00,4.200
GADNR,2022-06-15T00:00:00,0.940
GAINR,2022-06-15T00:00:00,1.140
GAVNR,2022-06-15T00:00:00,4.120
JMANR,2022-06-15T00:00:00,0.900
LESNR,2022-06-15T00:00:00,1.190
MOLNR,2022-06-15T00:00:00,0.450
PAJNR,2022-06-15T00:00:00,0.340
ROMNR,2022-06-15T00:00:00,0.350
RUINR,2022-06-15T00:00:00,0.850
ADJNL,2022-06-15T00:00:00,0.652
ALDNL,2022-06-15T00:00:00,1.860
BOCNL,2022-06-15T00:00:00,0.000
CABNL,2022-06-15T00:00:00,0.450
CAMNL,2022-06-15T00:00:00,0.220
CCHNL,2022-06-15T00:00:00,156.280
CDFNL,2022-06-15T00:00:00,0.260
CDRNL,2022-06-15T00:00:00,0.500
CPRNL,2022-06-15T00:00:00,259.750
LERNL,2022-06-15T00:00:00,0.250
PABNL,2022-06-15T00:00:00,0.240
PAMNL,2022-06-15T00:00:00,0.710
ASTOX,2022-06-15T00:00:00,1.010
BOQOX,2022-06-15T00:00:00,2.580
CHIOX,2022-06-15T00:00:00,2.020
CSPOX,2022-06-15T00:00:00,0.740
DPSOX,2022-06-15T00:00:00,53.240
EMAOX,2022-06-15T00:00:00,1.270
IXTOX,2022-06-15T00:00:00,0.080
JACOX,2022-06-15T00:00:00,34.330
MAROX,2022-06-15T00:00:00,132.320
NARPB,2022-06-15T00:00:00,2.320
OSTOX,2022-06-15T00:00:00,1.330
PAPOX,2022-06-15T00:00:00,5.150
RHOOX,2022-06-15T00:00:00,4.400
STDOX,2022-06-15T00:00:00,1.570
TEQOX,2022-06-15T00:00:00,2.700
UCFOX,2022-06-15T00:00:00,1.650
ZANOX,2022-06-15T00:00:00,0.390
BAIPB,2022-06-15T00:00:00,0.450
STLPB,2022-06-15T00:00:00,4.270
TYAPB,2022-06-15T00:00:00,1.770
AJTSL,2022-06-15T00:00:00,3.470
BLMSL,2022-06-15T00:00:00,29.280
GANSL,2022-06-15T00:00:00,262.860
MICSL,2022-06-15T00:00:00,0.290
NRJSL,2022-06-15T00:00:00,0.250
PUJSL,2022-06-15T00:00:00,0.630
RQTSL,2022-06-15T00:00:00,0.250
STRSL,2022-06-15T00:00:00,0.300
SVTSL,2022-06-15T00:00:00,0.260
TBLSL,2022-06-15T00:00:00,137.510
TMISL,2022-06-15T00:00:00,11.960
TMTSL,2022-06-15T00:00:00,112.190
ACTSI,2022-06-15T00:00:00,1.300
AL2SI,2022-06-15T00:00:00,0.030
BCBSI,2022-06-15T00:00:00,0.000
CHXSI,2022-06-15T00:00:00,0.000
GD2SI,2022-06-15T00:00:00,0.200
LD2SI,2022-06-15T00:00:00,5.200
LDCSI,2022-06-15T00:00:00,209.350
QLTSI,2022-06-15T00:00:00,0.050
RAVSI,2022-06-15T00:00:00,0.000
RSRSI,2022-06-15T00:00:00,0.000
SJNSI,2022-06-15T00:00:00,0.000
SN2SI,2022-06-15T00:00:00,0.000
SQRSI,2022-06-15T00:00:00,6.940
TBRSI,2022-06-15T00:00:00,1.180
TORSI,2022-06-15T00:00:00,0.000
ZOPSI,2022-06-15T00:00:00,0.400
CCRSO,2022-06-15T00:00:00,0.990
CJNSO,2022-06-15T00:00:00,1.600
CZNSO,2022-06-15T00:00:00,0.000
ECBSO,2022-06-15T00:00:00,1.070
NYNSO,2022-06-15T00:00:00,385.800
PDNSO,2022-06-15T00:00:00,0.590
PTASO,2022-06-15T00:00:00,0.750
PTQSO,2022-06-15T00:00:00,286.100
SBNSO,2022-06-15T00:00:00,154.820
SRSSO,2022-06-15T00:00:00,529.300
TSOSO,2022-06-15T00:00:00,9.500
BDCTB,2022-06-15T00:00:00,13.380
EMUTB,2022-06-15T00:00:00,1.290
EPOTB,2022-06-15T00:00:00,0.910
GABTB,2022-06-15T00:00:00,1.390
GONTB,2022-06-15T00:00:00,4.780
MACTB,2022-06-15T00:00:00,1.420
OXOTB,2022-06-15T00:00:00,34.790
PNVTB,2022-06-15T00:00:00,2.820
PUYTB,2022-06-15T00:00:00,25.110
SAMTB,2022-06-15T00:00:00,12.220
SJOCP,2022-06-15T00:00:00,20.050
SPTTB,2022-06-15T00:00:00,8.500
TAPTB,2022-06-15T00:00:00,16.840
TEATB,2022-06-15T00:00:00,34.180
ABSTP,2022-06-15T00:00:00,31.570
AHLTP,2022-06-15T00:00:00,3.840
BALTP,2022-06-15T00:00:00,0.340
BR1TP,2022-06-15T00:00:00,10.180
BRRTP,2022-06-15T00:00:00,214.150
CORTP,2022-06-15T00:00:00,0.010
ENNTP,2022-06-15T00:00:00,1.020
ERCTP,2022-06-15T00:00:00,48.590
FDOTP,2022-06-15T00:00:00,18.750
LSRTP,2022-06-15T00:00:00,1.180
MAGTP,2022-06-15T00:00:00,1.630
MGSTP,2022-06-15T00:00:00,19.440
PADTP,2022-06-15T00:00:00,142.230
PDMTP,2022-06-15T00:00:00,140.570
PILTP,2022-06-15T00:00:00,140.690
PJMTP,2022-06-15T00:00:00,433.570
PVLTP,2022-06-15T00:00:00,528.250
RFRTP,2022-06-15T00:00:00,1.400
RSPTP,2022-06-15T00:00:00,76.740
SBNTP,2022-06-15T00:00:00,1.180
SDATP,2022-06-15T00:00:00,42.460
SGBTP,2022-06-15T00:00:00,2.600
SLMTP,2022-06-15T00:00:00,1.900
SLZTP,2022-06-15T00:00:00,111.800
TMOTP,2022-06-15T00:00:00,98.320
TMPTP,2022-06-15T00:00:00,0.340
TMSTP,2022-06-15T00:00:00,0.290
VGRTP,2022-06-15T00:00:00,129.160
HMTTL,2022-06-15T00:00:00,0.020
TLXTL,2022-06-15T00:00:00,0.100
ACTVC,2022-06-15T00:00:00,181.700
AGDVC,2022-06-15T00:00:00,2.300
ARCVC,2022-06-15T00:00:00,14.150
CCLVC,2022-06-15T00:00:00,1.740
CHMVC,2022-06-15T00:00:00,0.850
CHYVC,2022-06-15T00:00:00,20.760
CRDVC,2022-06-15T00:00:00,4.240
CTTVC,2022-06-15T00:00:00,9.860
ENRVC,2022-06-15T00:00:00,4.840
ESPVC,2022-06-15T00:00:00,45.400
ETEVC,2022-06-15T00:00:00,0.240
GARVC,2022-06-15T00:00:00,5.270
HLSVC,2022-06-15T00:00:00,0.280
IDOVC,2022-06-15T00:00:00,84.120
JCRVC,2022-06-15T00:00:00,2.340
JDCVC,2022-06-15T00:00:00,2.760
LAUVC,2022-06-15T00:00:00,8.500
LCEVC,2022-06-15T00:00:00,4.780
LIBVC,2022-06-15T00:00:00,47.140
LPEVC,2022-06-15T00:00:00,4.890
MDTVC,2022-06-15T00:00:00,58.320
MNZVC,2022-06-15T00:00:00,0.580
OLVVC,2022-06-15T00:00:00,5.580
PDTVC,2022-06-15T00:00:00,0.700
PNCVC,2022-06-15T00:00:00,0.260
PRCVC,2022-06-15T00:00:00,38.050
PSNVC,2022-06-15T00:00:00,0.520
PTGVC,2022-06-15T00:00:00,104.940
SBTVC,2022-06-15T00:00:00,37.020
SJCVC,2022-06-15T00:00:00,37.490
SJEVC,2022-06-15T00:00:00,16.800
TMOVC,2022-06-15T00:00:00,6.020
TMPVC,2022-06-15T00:00:00,0.790
TOMVC,2022-06-15T00:00:00,1.050
TRRVC,2022-06-15T00:00:00,87.220
TXPVC,2022-06-15T00:00:00,0.900
VAZVC,2022-06-15T00:00:00,10.180
LFLZC,2022-06-15T00:00:00,1854.030
SFOZC,2022-06-15T00:00:00,0.340
B24215,2022-06-15T00:00:00,0.700
LMIGJ,2022-06-15T00:00:00,0.250
LMDGJ,2022-06-15T00:00:00,0.050
RSSMX,2022-06-15T00:00:00,0.670